Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Aleksandar Lukovic,Centre-Back,27,Udinese Calcio,Serie A,Zenit S-Pb,Premier Liga,2010-2011,3800000,7000000
Aleksandr Bukharov,Centre-Forward,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2010-2011,10000000,12000000
Alessio Cerci,Right Winger,23,AS Roma,Serie A,Fiorentina,Serie A,2010-2011,3500000,4000000
Alex,Attacking Midfield,29,Spartak Moscow,Premier Liga,Corinthians,Campeonato Brasileiro Serie A,2010-2011,8000000,6000000
Alexis,Centre-Back,25,Valencia CF,La Liga,Sevilla FC,La Liga,2010-2011,6000000,5000000
Alipio,Centre-Forward,18,R. Madrid Youth,La Liga,Benfica U19,Liga NOS,2010-2011,NA,4000000
Anders Lindegaard,Goalkeeper,26,Aalesund,Norwegian Eliteserien,Man Utd,Premier League,2010-2011,3200000,5000000
Andre,Centre-Forward,19,Santos FC,Campeonato Brasileiro Serie A,Dynamo Kyiv,Premier Liga,2010-2011,4000000,8100000
Andrea Ranocchia,Centre-Back,22,Genoa,Serie A,Inter,Serie A,2010-2011,10000000,18500000
Andrea Rispoli,Right-Back,21,Brescia,Serie A,Parma,Serie A,2010-2011,1500000,7000000
Andre-Pierre Gignac,Centre-Forward,24,Toulouse,Ligue 1,Marseille,Ligue 1,2010-2011,14500000,16000000
Andy Carroll,Centre-Forward,22,Newcastle,Premier League,Liverpool,Premier League,2010-2011,2500000,41000000
Angel Di Maria,Right Winger,22,Benfica,Liga NOS,Real Madrid,La Liga,2010-2011,9500000,33000000
Anthony Modeste,Centre-Forward,22,OGC Nice,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,2300000,3500000
Aristide Bance,Centre-Forward,25,1.FSV Mainz 05,1.Bundesliga,Al-Ahli (UAE),UAE Pro-League,2010-2011,5500000,5000000
Aritz Aduriz,Centre-Forward,29,RCD Mallorca,La Liga,Valencia CF,La Liga,2010-2011,7000000,4300000
Arouca,Defensive Midfield,23,Sao Paulo,Campeonato Brasileiro Serie A,Santos FC,Campeonato Brasileiro Serie A,2010-2011,2500000,3500000
Asamoah Gyan,Centre-Forward,24,Stade Rennais,Ligue 1,Sunderland,Premier League,2010-2011,11000000,16000000
Bakari Kone,Right Winger,28,Marseille,Ligue 1,Al Duhail,Qatar Stars League,2010-2011,4000000,3500000
Barreto,Second Striker,24,Udinese Calcio,Serie A,Bari,Serie A,2010-2011,8000000,4500000
Bebe,Left Winger,20,Vit. Guimaraes,Liga NOS,Man Utd,Premier League,2010-2011,100000,8800000
Ben Foster,Goalkeeper,27,Man Utd,Premier League,Birmingham,Premier League,2010-2011,3000000,7000000
Blerim Dzemaili,Central Midfield,24,Torino,Serie B,Parma,Serie A,2010-2011,5000000,7000000
Bogdan Stancu,Centre-Forward,23,FCS Bucharest,Liga 1,Galatasaray,Super Lig,2010-2011,3700000,5000000
Bruno Alves,Centre-Back,28,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2010-2011,18000000,22000000
Carlos Eduardo,Attacking Midfield,23,TSG Hoffenheim,1.Bundesliga,Rubin Kazan,Premier Liga,2010-2011,14500000,20000000
Cesar Azpilicueta,Right-Back,20,CA Osasuna,La Liga,Marseille,Ligue 1,2010-2011,7000000,6000000
Cheik Tiote,Defensive Midfield,24,FC Twente,Eredivisie,Newcastle,Premier League,2010-2011,3500000,4280000
Chicharito,Centre-Forward,22,Chivas,Liga MX,Man Utd,Premier League,2010-2011,6000000,7500000
Chico,Centre-Back,23,UD Almeria,La Liga,Genoa,Serie A,2010-2011,3000000,5000000
Chris Smalling,Centre-Back,20,Fulham,Premier League,Man Utd,Premier League,2010-2011,2000000,8000000
Christian Poulsen,Defensive Midfield,30,Juventus,Serie A,Liverpool,Premier League,2010-2011,5500000,5480000
Cleiton Xavier,Attacking Midfield,27,Desp. Brasil,Campeonato Brasileiro Serie A,Metalist,Premier Liga,2010-2011,4000000,3600000
Cleo,Centre-Forward,25,Partizan,SuperLiga,GZ Evergrande,Chinese Super League,2010-2011,3500000,4000000
Cristian Molinaro,Left-Back,26,Juventus,Serie A,VfB Stuttgart,1.Bundesliga,2010-2011,5000000,3900000
Curtis Davies,Centre-Back,25,Aston Villa,Premier League,Birmingham,Premier League,2010-2011,4500000,4000000
Damian √Ålvarez,Left Winger,32,CF Pachuca,Liga MX,Tigres UANL,Liga MX,2010-2011,2300000,3900000
Daniel Osvaldo,Centre-Forward,24,Bologna,Serie A,Espanyol,La Liga,2010-2011,4000000,4600000
Danilinho,Right Winger,23,Chiapas FC,Liga MX,Tigres UANL,Liga MX,2010-2011,5000000,3500000
Darren Bent,Centre-Forward,26,Sunderland,Premier League,Aston Villa,Premier League,2010-2011,18000000,21500000
David Luiz,Centre-Back,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000,25000000
David Silva,Attacking Midfield,24,Valencia CF,La Liga,Man City,Premier League,2010-2011,32000000,28750000
David Villa,Centre-Forward,28,Valencia CF,La Liga,FC Barcelona,La Liga,2010-2011,45000000,40000000
Didac Vila,Left-Back,21,Espanyol,La Liga,AC Milan,Serie A,2010-2011,800000,4000000
Diego,Attacking Midfield,25,Juventus,Serie A,VfL Wolfsburg,1.Bundesliga,2010-2011,24000000,15500000
Diego Godin,Centre-Back,24,Villarreal CF,La Liga,Atletico Madrid,La Liga,2010-2011,12000000,8000000
Diego Tardelli,Centre-Forward,25,Atletico-MG,Campeonato Brasileiro Serie A,Anzhi,Premier Liga,2010-2011,4500000,5000000
Dieumerci Mbokani,Centre-Forward,24,Standard Liege,Jupiler Pro League,Monaco,Ligue 1,2010-2011,8000000,7000000
Dmitri Kombarov,Left-Back,23,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,2010-2011,5000000,4000000
Dmytro Chygrynskiy,Centre-Back,23,FC Barcelona,La Liga,Shakhtar D.,Premier Liga,2010-2011,8000000,15000000
Eder,Second Striker,23,FC Empoli,Serie B,Brescia,Serie A,2010-2011,3000000,4200000
Edin Dzeko,Centre-Forward,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2010-2011,30000000,37000000
Edinho,Defensive Midfield,27,Palmeiras,Campeonato Brasileiro Serie A,Fluminense,Campeonato Brasileiro Serie A,2010-2011,2500000,3400000
Eduardo,Goalkeeper,27,Braga,Liga NOS,Genoa,Serie A,2010-2011,7800000,4500000
Eduardo,Centre-Forward,27,Arsenal,Premier League,Shakhtar D.,Premier Liga,2010-2011,10500000,7200000
Elias,Central Midfield,25,Corinthians,Campeonato Brasileiro Serie A,Atletico Madrid,La Liga,2010-2011,7000000,7000000
Emir Bajrami,Right Winger,22,Elfsborg,Allsvenskan,FC Twente,Eredivisie,2010-2011,3000000,3500000
Ezequiel Munoz,Centre-Back,19,Boca Juniors,Argentine Primera Division,US Palermo,Serie A,2010-2011,1500000,5000000
Facundo Bertoglio,Attacking Midfield,20,Colon,Argentine Primera Division,Dynamo Kyiv,Premier Liga,2010-2011,4000000,3600000
Fahid Ben Khalfallah,Right Winger,27,Valenciennes FC,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,5000000,4500000
Federico Rodriguez,Centre-Forward,19,Penarol,Argentine Primera Division,Genoa,Serie A,2010-2011,300000,4200000
Felipe,Centre-Back,25,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,6500000,6300000
Fernando Torres,Centre-Forward,26,Liverpool,Premier League,Chelsea,Premier League,2010-2011,50000000,58500000
Filipe Luis,Left-Back,24,Dep. La Coruna,La Liga,Atletico Madrid,La Liga,2010-2011,10000000,12000000
Franco Jara,Centre-Forward,21,Arsenal FC,Argentine Primera Division,Benfica,Liga NOS,2010-2011,2200000,5500000
Gaetano D'Agostino,Central Midfield,28,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,10000000,4500000
Gaston Ramirez,Attacking Midfield,19,Penarol,Argentine Primera Division,Bologna,Serie A,2010-2011,700000,3360000
Georg Niedermeier,Centre-Back,24,FC Bayern II,3.Bundesliga,VfB Stuttgart,1.Bundesliga,2010-2011,3000000,3500000
Giampaolo Pazzini,Centre-Forward,26,Sampdoria,Serie A,Inter,Serie A,2010-2011,19000000,18000000
Giovanni Moreno,Attacking Midfield,24,Atl. Nacional,Colombian CategorÌa Primera B,Racing Club,Argentine Primera Division,2010-2011,2000000,3200000
Giuliano,Attacking Midfield,20,Internacional,Campeonato Brasileiro Serie A,Dnipro,Premier Liga,2010-2011,8000000,11000000
Giuseppe Sculli,Left Winger,29,Genoa,Serie A,Lazio,Serie A,2010-2011,5000000,3000000
Gojko Kacar,Defensive Midfield,23,Hertha BSC,2.Bundesliga,Hamburger SV,1.Bundesliga,2010-2011,8500000,5500000
Guido Marilungo,Second Striker,21,Sampdoria,Serie A,Atalanta,Serie B,2010-2011,4000000,4700000
Guilherme,Second Striker,22,Dynamo Kyiv,Premier Liga,Atletico-MG,Campeonato Brasileiro Serie A,2010-2011,4800000,6000000
Gylfi Sigurdsson,Attacking Midfield,20,Reading,English Championship,TSG Hoffenheim,1.Bundesliga,2010-2011,5000000,5200000
Hatem Ben Arfa,Attacking Midfield,23,Marseille,Ligue 1,Newcastle,Premier League,2010-2011,7000000,6000000
Heiko Westermann,Centre-Back,26,FC Schalke 04,1.Bundesliga,Hamburger SV,1.Bundesliga,2010-2011,9000000,7500000
Henrikh Mkhitaryan,Attacking Midfield,21,Metalurh D.,Premier Liga,Shakhtar D.,Premier Liga,2010-2011,4000000,5850000
Hernanes,Attacking Midfield,25,Sao Paulo,Campeonato Brasileiro Serie A,Lazio,Serie A,2010-2011,9000000,13500000
Ibrahim Afellay,Left Midfield,24,PSV Eindhoven,Eredivisie,FC Barcelona,La Liga,2010-2011,10000000,3000000
Igor de Camargo,Centre-Forward,27,Standard Liege,Jupiler Pro League,Bor. M'gladbach,1.Bundesliga,2010-2011,4500000,4000000
Ismael Bangoura,Centre-Forward,25,Stade Rennais,Ligue 1,Al-Nasr,UAE Pro-League,2010-2011,6000000,8000000
Ismael Sosa,Right Winger,23,Independiente,Argentine Primera Division,Gaziantepspor,Super Lig,2010-2011,1800000,3500000
Issiar Dia,Right Winger,23,AS Nancy,Ligue 1,Fenerbahce,Super Lig,2010-2011,6500000,6500000
Ivan Strinic,Left-Back,23,Hajduk Split,1.HNL,Dnipro,Premier Liga,2010-2011,3000000,4000000
Jaime Valdes,Central Midfield,29,Atalanta,Serie B,Sporting CP,Liga NOS,2010-2011,4000000,3300000
Jaja,Centre-Forward,24,Metalist,Premier Liga,Trabzonspor,Super Lig,2010-2011,6000000,4200000
James Milner,Central Midfield,24,Aston Villa,Premier League,Man City,Premier League,2010-2011,20000000,22000000
James Rodriguez,Attacking Midfield,18,CA Banfield,Argentine Primera Division,FC Porto,Liga NOS,2010-2011,2500000,7350000
Jardel,Centre-Back,24,Desp. Brasil,Campeonato Brasileiro Serie A,Benfica,Liga NOS,2010-2011,200000,4480000
Javier Mascherano,Defensive Midfield,26,Liverpool,Premier League,FC Barcelona,La Liga,2010-2011,26000000,20000000
Jean Beausejour,Left-Back,26,America,Liga MX,Birmingham,Premier League,2010-2011,2500000,4800000
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,Aston Villa,Premier League,2010-2011,7500000,6200000
Jelle Van Damme,Left-Back,26,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,2010-2011,4500000,3250000
Jelle Van Damme,Left-Back,27,Wolves,Premier League,Standard Liege,Jupiler Pro League,2010-2011,4500000,3500000
Jeremain Lens,Right Winger,22,AZ Alkmaar,Eredivisie,PSV Eindhoven,Eredivisie,2010-2011,4500000,3500000
Jerome Boateng,Centre-Back,21,Hamburger SV,1.Bundesliga,Man City,Premier League,2010-2011,15000000,12500000
Jimmy Briand,Centre-Forward,24,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,7800000,6000000
Joao Moutinho,Central Midfield,23,Sporting CP,Liga NOS,FC Porto,Liga NOS,2010-2011,14500000,11000000
Jonathan Biabiany,Right Winger,22,Inter,Serie A,Sampdoria,Serie A,2010-2011,7500000,7000000
Jonathan Biabiany,Right Winger,22,Parma,Serie A,Inter,Serie A,2010-2011,7500000,4200000
Jonathan Cristaldo,Centre-Forward,21,Velez Sarsfield,Argentine Primera Division,Metalist,Premier Liga,2010-2011,3000000,5000000
Jonathan Walters,Right Winger,26,Ipswich,English Championship,Stoke City,Premier League,2010-2011,1750000,3300000
Jorge Martinez,Right Winger,27,Catania,Serie A,Juventus,Serie A,2010-2011,8000000,12000000
Jorge Valdivia,Attacking Midfield,26,Al-Ain FC,UAE Pro-League,Palmeiras,Campeonato Brasileiro Serie A,2010-2011,3000000,6000000
Jose Manuel Jurado,Attacking Midfield,24,Atletico Madrid,La Liga,FC Schalke 04,1.Bundesliga,2010-2011,13000000,11000000
Jose Salomon Rondon,Centre-Forward,20,UD Las Palmas,La Liga 2,Malaga CF,La Liga,2010-2011,1000000,3500000
Juan Iturbe,Right Winger,17,Quilmes,Argentine Primera Division,FC Porto,Liga NOS,2010-2011,100000,4250000
Juanfran,Right-Back,25,CA Osasuna,La Liga,Atletico Madrid,La Liga,2010-2011,6000000,4250000
Jucilei,Defensive Midfield,22,Corinthians,Campeonato Brasileiro Serie A,Anzhi,Premier Liga,2010-2011,6500000,10000000
Juraj Kucka,Central Midfield,23,Sparta Praha,Czech First League,Genoa,Serie A,2010-2011,2300000,4000000
Kenwyne Jones,Centre-Forward,25,Sunderland,Premier League,Stoke City,Premier League,2010-2011,10000000,9700000
Kevin-Prince Boateng,Central Midfield,23,Portsmouth,English Championship,Genoa,Serie A,2010-2011,4000000,5700000
Kirill Kombarov,Right-Back,23,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,2010-2011,4500000,4000000
Klaas-Jan Huntelaar,Centre-Forward,27,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,2010-2011,13000000,14000000
Lacina Traore,Centre-Forward,20,CFR Cluj,Liga 1,Kuban Krasnodar,Premier Liga,2010-2011,4000000,6000000
Laurent Koscielny,Centre-Back,24,FC Lorient,Ligue 1,Arsenal,Premier League,2010-2011,5000000,12500000
Leonardo Bonucci,Centre-Back,23,Bari,Serie A,Juventus,Serie A,2010-2011,8000000,15500000
Loic Remy,Centre-Forward,23,OGC Nice,Ligue 1,Marseille,Ligue 1,2010-2011,12000000,15500000
Lorenzo Ariaudo,Centre-Back,21,Juventus,Serie A,Cagliari Calcio,Serie A,2010-2011,1300000,3800000
Lorik Cana,Centre-Back,26,Sunderland,Premier League,Galatasaray,Super Lig,2010-2011,12000000,4500000
Luca Antonelli,Left-Back,23,Parma,Serie A,Genoa,Serie A,2010-2011,3500000,7000000
Luis Fabiano,Centre-Forward,30,Sevilla FC,La Liga,Sao Paulo,Campeonato Brasileiro Serie A,2010-2011,8000000,7600000
Luis Jimenez,Attacking Midfield,26,Inter,Serie A,Ternana,Serie C ,2010-2011,4000000,3180000
Luis Suarez,Centre-Forward,24,AFC Ajax,Eredivisie,Liverpool,Premier League,2010-2011,25000000,26500000
Luiz Gustavo,Defensive Midfield,23,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2010-2011,6500000,17000000
Maicosuel,Left Winger,24,TSG Hoffenheim,1.Bundesliga,Botafogo,Campeonato Brasileiro Serie A,2010-2011,4500000,4000000
Maksym Koval,Goalkeeper,17,Metalurh Z.,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,700000,3100000
Mamadou Niang,Centre-Forward,30,Marseille,Ligue 1,Fenerbahce,Super Lig,2010-2011,11000000,9000000
Marc Janko,Centre-Forward,27,RB Salzburg,Austrian Bundesliga,FC Twente,Eredivisie,2010-2011,4500000,7000000
Marc Wilson,Centre-Back,23,Portsmouth,English Championship,Stoke City,Premier League,2010-2011,2500000,3600000
Marcelo,Centre-Back,23,Wisla Krakow,Ekstraklasa,PSV Eindhoven,Eredivisie,2010-2011,3200000,3800000
Marco Fossati,Central Midfield,17,Inter U19,Primavera B,Milan U19,Primavera B,2010-2011,300000,4000000
Marco Storari,Goalkeeper,33,AC Milan,Serie A,Juventus,Serie A,2010-2011,1500000,4500000
Marco Torsiglieri,Centre-Back,22,Velez Sarsfield,Argentine Primera Division,Sporting CP,Liga NOS,2010-2011,700000,3400000
Marek Suchy,Centre-Back,22,Slavia Prag,Czech First League,Spartak Moscow,Premier Liga,2010-2011,2500000,3800000
Mario Balotelli,Centre-Forward,20,Inter,Serie A,Man City,Premier League,2010-2011,26000000,29500000
Mario Bolatti,Defensive Midfield,25,Fiorentina,Serie A,Internacional,Campeonato Brasileiro Serie A,2010-2011,5500000,4000000
Mario Mandzukic,Left Winger,24,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,2010-2011,7500000,7000000
Marko Arnautovic,Left Winger,21,FC Twente,Eredivisie,Werder Bremen,1.Bundesliga,2010-2011,6500000,6200000
Martyn Waghorn,Centre-Forward,20,Sunderland,Premier League,Leicester,English Championship,2010-2011,900000,3600000
Massimo Maccarone,Centre-Forward,30,Siena,Serie B,US Palermo,Serie A,2010-2011,4500000,4400000
Matteo Ardemagni,Centre-Forward,23,Cittadella,Serie B,Atalanta,Serie B,2010-2011,1100000,3800000
Mattia Destro,Centre-Forward,19,Inter U19,Primavera B,Genoa,Serie A,2010-2011,1000000,6500000
Mauricio Pinilla,Centre-Forward,26,Grosseto,Serie B,US Palermo,Serie A,2010-2011,2500000,5100000
Mauro Boselli,Centre-Forward,25,Estudiantes,Argentine Primera Division,Wigan,Premier League,2010-2011,7500000,3700000
Mauro Formica,Attacking Midfield,22,Newell's,Argentine Primera Division,Blackburn,Premier League,2010-2011,3500000,4000000
Mehmet Topal,Defensive Midfield,24,Galatasaray,Super Lig,Valencia CF,La Liga,2010-2011,7500000,5500000
Meme Tchite,Centre-Forward,26,Racing,La Liga,Standard Liege,Jupiler Pro League,2010-2011,4000000,4000000
Mesut Ozil,Attacking Midfield,21,Werder Bremen,1.Bundesliga,Real Madrid,La Liga,2010-2011,27000000,18000000
Miguel Veloso,Defensive Midfield,24,Sporting CP,Liga NOS,Genoa,Serie A,2010-2011,11500000,9000000
Milos Krasic,Central Midfield,25,CSKA Moscow,Premier Liga,Juventus,Serie A,2010-2011,15000000,15000000
Miroslav Stoch,Left Winger,20,Chelsea,Premier League,Fenerbahce,Super Lig,2010-2011,4500000,5500000
Moubarak Boussoufa,Attacking Midfield,26,RSC Anderlecht,Jupiler Pro League,Anzhi,Premier Liga,2010-2011,9000000,8000000
Mounir El Hamdaoui,Centre-Forward,25,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2010-2011,7500000,5000000
Mousa Dembele,Central Midfield,23,AZ Alkmaar,Eredivisie,Fulham,Premier League,2010-2011,7500000,6000000
Nadir Belhadj,Left-Back,28,Portsmouth,English Championship,Al Sadd,Qatar Stars League,2010-2011,5500000,4200000
Nelson Valdez,Centre-Forward,26,Bor. Dortmund,1.Bundesliga,Hercules CF,La Liga,2010-2011,4000000,3500000
Nene,Attacking Midfield,29,Monaco,Ligue 1,Paris SG,Ligue 1,2010-2011,10000000,5000000
Neto,Goalkeeper,21,Atletico-PR,Campeonato Brasileiro Serie A,Fiorentina,Serie A,2010-2011,1800000,3500000
Nico Gaitan,Left Winger,22,Boca Juniors,Argentine Primera Division,Benfica,Liga NOS,2010-2011,5000000,8400000
Nicola Pozzi,Centre-Forward,24,FC Empoli,Serie B,Sampdoria,Serie A,2010-2011,3000000,5200000
Nicolas Burdisso,Centre-Back,29,Inter,Serie A,AS Roma,Serie A,2010-2011,7000000,8000000
Nicolas Otamendi,Centre-Back,22,Velez Sarsfield,Argentine Primera Division,FC Porto,Liga NOS,2010-2011,5000000,4000000
Nicolas Pareja,Centre-Back,26,Espanyol,La Liga,Spartak Moscow,Premier Liga,2010-2011,6000000,10000000
Nikica Jelavic,Centre-Forward,24,Rapid Vienna,Austrian Bundesliga,Rangers,Scottish Football League,2010-2011,2500000,4900000
Nikola Zigic,Centre-Forward,29,Valencia CF,La Liga,Birmingham,Premier League,2010-2011,8000000,7000000
Obafemi Martins,Centre-Forward,25,VfL Wolfsburg,1.Bundesliga,Rubin Kazan,Premier Liga,2010-2011,10500000,9000000
Oleksandr Aliyev,Attacking Midfield,26,Loko Moscow,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,10000000,8000000
Oleksandr Gladky,Centre-Forward,22,Shakhtar D.,Premier Liga,Dnipro,Premier Liga,2010-2011,3000000,7000000
Onyekachi Apam,Centre-Back,23,OGC Nice,Ligue 1,Stade Rennais,Ligue 1,2010-2011,5000000,4000000
Pablo Barrera,Right Winger,23,UNAM Pumas,Liga MX,West Ham,Premier League,2010-2011,3500000,4800000
Pablo Gonzalez,Centre-Forward,25,Novara,Serie B,US Palermo,Serie A,2010-2011,400000,5000000
Patrick Helmes,Centre-Forward,26,Bay. Leverkusen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2010-2011,8500000,5000000
Paul Konchesky,Left-Back,29,Fulham,Premier League,Liverpool,Premier League,2010-2011,3500000,4000000
Pedro Leon,Right Winger,23,Getafe CF,La Liga,Real Madrid,La Liga,2010-2011,8000000,10000000
Peter Odemwingie,Right Winger,29,Loko Moscow,Premier Liga,West Brom,Premier League,2010-2011,5800000,3000000
Rafael van der Vaart,Attacking Midfield,27,Real Madrid,La Liga,Spurs,Premier League,2010-2011,15000000,10500000
Raffaele Palladino,Left Winger,26,Genoa,Serie A,Parma,Serie A,2010-2011,7000000,6000000
Rafinha,Right-Back,24,FC Schalke 04,1.Bundesliga,Genoa,Serie A,2010-2011,12000000,8000000
Ramires,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000,22000000
Raul Meireles,Central Midfield,27,FC Porto,Liga NOS,Liverpool,Premier League,2010-2011,11000000,13000000
Razak Boukari,Right Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2010-2011,3600000,5000000
Ricardo Carvalho,Centre-Back,32,Chelsea,Premier League,Real Madrid,La Liga,2010-2011,17500000,8000000
Ricardo Quaresma,Right Winger,26,Inter,Serie A,Besiktas,Super Lig,2010-2011,12000000,7300000
Robert Lewandowski,Centre-Forward,21,Lech Poznan,Ekstraklasa,Bor. Dortmund,1.Bundesliga,2010-2011,4500000,4750000
Roberto,Goalkeeper,24,Atletico Madrid,La Liga,Benfica,Liga NOS,2010-2011,2000000,8500000
Roberto Firmino,Second Striker,19,Tombense,Campeonato Brasileiro Serie A,TSG Hoffenheim,1.Bundesliga,2010-2011,NA,4000000
Roberto Soldado,Centre-Forward,25,Getafe CF,La Liga,Valencia CF,La Liga,2010-2011,10000000,10000000
Robinho,Left Winger,26,Man City,Premier League,AC Milan,Serie A,2010-2011,15000000,18000000
Rod Fanni,Right-Back,29,Stade Rennais,Ligue 1,Marseille,Ligue 1,2010-2011,7500000,4000000
Rodrigo,Centre-Forward,19,RM Castilla,La Liga 2,Benfica,Liga NOS,2010-2011,NA,6000000
Ronaldinho,Attacking Midfield,30,AC Milan,Serie A,Flamengo,Campeonato Brasileiro Serie A,2010-2011,27500000,3000000
Ronnie Stam,Right-Back,26,FC Twente,Eredivisie,Wigan,Premier League,2010-2011,3500000,4000000
Ryan Babel,Left Winger,24,Liverpool,Premier League,TSG Hoffenheim,1.Bundesliga,2010-2011,6500000,7000000
Salvatore Bocchetti,Centre-Back,23,Genoa,Serie A,Rubin Kazan,Premier Liga,2010-2011,6500000,9500000
Sami Khedira,Central Midfield,23,VfB Stuttgart,1.Bundesliga,Real Madrid,La Liga,2010-2011,18000000,14000000
Samuel Inkoom,Right Winger,21,FC Basel,Swiss Super League,Dnipro,Premier Liga,2010-2011,4500000,5300000
Sandro,Defensive Midfield,21,Internacional,Campeonato Brasileiro Serie A,Spurs,Premier League,2010-2011,9000000,10000000
Sebastian Blanco,Attacking Midfield,22,Lanus,Argentine Primera Division,Metalist,Premier Liga,2010-2011,4000000,8700000
Sebastian Fernandez,Second Striker,25,CA Banfield,Argentine Primera Division,Malaga CF,La Liga,2010-2011,2500000,3600000
Sebastian Rudy,Defensive Midfield,20,VfB Stuttgart,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2010-2011,1500000,4000000
Sebastien Squillaci,Centre-Back,30,Sevilla FC,La Liga,Arsenal,Premier League,2010-2011,8000000,6500000
Senijad Ibricic,Attacking Midfield,25,Hajduk Split,1.HNL,Loko Moscow,Premier Liga,2010-2011,6500000,5000000
Sergio Canales,Attacking Midfield,19,Racing,La Liga,Real Madrid,La Liga,2010-2011,6000000,6000000
Sergio Floccari,Centre-Forward,28,Genoa,Serie A,Lazio,Serie A,2010-2011,10000000,8500000
Seydou Doumbia,Centre-Forward,22,BSC Young Boys,Swiss Super League,CSKA Moscow,Premier Liga,2010-2011,8000000,11000000
Shamil Lakhiyalov,Second Striker,31,Krasnodar,Premier Liga,Anzhi,Premier Liga,2010-2011,1000000,5000000
Simon Kjaer,Centre-Back,21,US Palermo,Serie A,VfL Wolfsburg,1.Bundesliga,2010-2011,12000000,12000000
Sokratis,Centre-Back,22,Genoa,Serie A,AC Milan,Serie A,2010-2011,5000000,4500000
Stephane Sessegnon,Attacking Midfield,26,Paris SG,Ligue 1,Sunderland,Premier League,2010-2011,8500000,7000000
Stephen Hunt,Left Midfield,28,Hull City,English Championship,Wolves,Premier League,2010-2011,5000000,3600000
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,Aston Villa,Premier League,2010-2011,13000000,9700000
Steven Fletcher,Centre-Forward,23,Burnley,English Championship,Wolves,Premier League,2010-2011,4500000,7200000
Steven Pienaar,Left Winger,28,Everton,Premier League,Spurs,Premier League,2010-2011,9500000,3600000
Taison,Left Winger,22,Internacional,Campeonato Brasileiro Serie A,Metalist,Premier Liga,2010-2011,1200000,6300000
Tiberio Guarente,Central Midfield,24,Atalanta,Serie B,Sevilla FC,La Liga,2010-2011,5500000,5500000
Tino Costa,Central Midfield,25,Montpellier,Ligue 1,Valencia CF,La Liga,2010-2011,6400000,6500000
Tomas Kalas,Centre-Back,17,Sigma Olomouc,Czech First League,Chelsea,Premier League,2010-2011,NA,6000000
Tuncay Sanli,Left Winger,29,Stoke City,Premier League,VfL Wolfsburg,1.Bundesliga,2010-2011,6500000,4500000
Victor Montano,Centre-Forward,26,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2010-2011,4000000,6500000
Victor Ruiz,Centre-Back,21,Espanyol,La Liga,SSC Napoli,Serie A,2010-2011,4000000,8500000
Wagner,Attacking Midfield,25,Loko Moscow,Premier Liga,Gaziantepspor,Super Lig,2010-2011,2000000,3600000
Walter,Centre-Forward,20,Internacional,Campeonato Brasileiro Serie A,FC Porto,Liga NOS,2010-2011,5000000,6000000
Wellington Silva,Right Winger,18,Fluminense,Campeonato Brasileiro Serie A,Arsenal,Premier League,2010-2011,800000,4000000
Wesley,Central Midfield,23,Santos FC,Campeonato Brasileiro Serie A,Werder Bremen,1.Bundesliga,2010-2011,6000000,7500000
Wilfried Bony,Centre-Forward,22,Sparta Praha,Czech First League,Vitesse,Eredivisie,2010-2011,2500000,4000000
Winston Reid,Centre-Back,22,FC Midtjylland,Superligaen,West Ham,Premier League,2010-2011,1500000,4200000
Yaya Toure,Central Midfield,27,FC Barcelona,La Liga,Man City,Premier League,2010-2011,18000000,30000000
Yekta Kurtulus,Central Midfield,25,Kasimpasa,Super Lig,Galatasaray,Super Lig,2010-2011,3000000,3750000
Yoann Gourcuff,Attacking Midfield,24,G. Bordeaux,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,22500000,22000000
Yossi Benayoun,Right Winger,30,Liverpool,Premier League,Chelsea,Premier League,2010-2011,10500000,7000000
